,Total,12 Packs,,Starter ,Jinx,,SF Box,,Rumble Deck,
No,Total,Normal,Shinny,Garen + Master Yi,Normal,Shinny,Normal,Shinny,Normal,Shinny
sfd-240,0,,,,,,,,,
sfd-241,0,,,,,,,,,
sfd-242,0,,,,,,,,,
sfd-243,0,,,,,,,,,
sfd-244,0,,,,,,,,,
sfd-245,0,,,,,,,,,
sfd-246,0,,,,,,,,,
sfd-247,0,,,,,,,,,
sfd-248,0,,,,,,,,,
sfd-249,0,,,,,,,,,
sfd-250,0,,,,,,,,,
sfd-251,0,,,,,,,,,
sfd-t03,6,,,,,,6.0,,,
unl-001,0,,,,,,,,,
unl-002,0,,,,,,,,,
unl-003,0,,,,,,,,,
unl-004,0,,,,,,,,,
unl-005,0,,,,,,,,,
unl-006,0,,,,,,,,,
unl-007,0,,,,,,,,,
unl-008,0,,,,,,,,,
unl-009,0,,,,,,,,,
unl-010,0,,,,,,,,,
unl-011,0,,,,,,,,,
unl-012,0,,,,,,,,,
unl-013,0,,,,,,,,,
unl-014,0,,,,,,,,,
unl-015,0,,,,,,,,,
unl-016,0,,,,,,,,,
unl-017,0,,,,,,,,,
unl-018,0,,,,,,,,,
unl-019,0,,,,,,,,,
unl-020,0,,,,,,,,,
unl-021,0,,,,,,,,,
unl-022,0,,,,,,,,,
unl-022a,,,,,,,,,,
unl-023,0,,,,,,,,,
unl-024,0,,,,,,,,,
unl-024a,,,,,,,,,,
unl-025,0,,,,,,,,,
unl-026,0,,,,,,,,,
unl-027,0,,,,,,,,,
unl-028,0,,,,,,,,,
unl-028a,,,,,,,,,,
unl-029,0,,,,,,,,,
unl-029a,,,,,,,,,,
unl-030,0,,,,,,,,,
unl-030a,,,,,,,,,,
unl-031,0,,,,,,,,,
unl-032,0,,,,,,,,,
unl-033,0,,,,,,,,,
unl-034,0,,,,,,,,,
unl-035,0,,,,,,,,,
unl-036,0,,,,,,,,,
unl-037,0,,,,,,,,,
unl-038,0,,,,,,,,,
unl-039,0,,,,,,,,,
unl-040,0,,,,,,,,,
unl-041,0,,,,,,,,,
unl-042,0,,,,,,,,,
unl-043,0,,,,,,,,,
unl-044,0,,,,,,,,,
unl-045,0,,,,,,,,,
unl-046,0,,,,,,,,,
unl-047,0,,,,,,,,,
unl-048,0,,,,,,,,,
unl-049,0,,,,,,,,,
unl-050,0,,,,,,,,,
unl-051,0,,,,,,,,,
unl-051a,,,,,,,,,,
unl-052,0,,,,,,,,,
unl-053,0,,,,,,,,,
unl-054,0,,,,,,,,,
unl-055,0,,,,,,,,,
unl-055a,,,,,,,,,,
unl-056,0,,,,,,,,,
unl-057,0,,,,,,,,,
unl-058,0,,,,,,,,,
unl-058a,,,,,,,,,,
unl-059,0,,,,,,,,,
